source_value,feg_local_name,target_property,status,notes
Ankle Dorsiflexion,Dorsiflexion,feg:jointAction,matched,
Ankle Plantar Flexion,Plantarflexion,feg:jointAction,matched,
Anti-Extension,AntiExtension,feg:movementPattern,matched,
Anti-Flexion,AntiFlexion,feg:movementPattern,matched,
Anti-Lateral Flexion,AntiLateralFlexion,feg:movementPattern,matched,
Anti-Rotational,AntiRotation,feg:movementPattern,matched,
Elbow Extension,ElbowExtension,feg:jointAction,matched,
Elbow Flexion,ElbowFlexion,feg:jointAction,matched,
Hip Abduction,HipAbduction,feg:jointAction,matched,
Hip Adduction,HipAdduction,feg:jointAction,matched,
Hip Dominant,HipHinge,feg:movementPattern,matched,
Hip Extension,HipExtension,feg:jointAction,matched,
Hip External Rotation,HipExternalRotation,feg:jointAction,matched,
Hip Flexion,HipFlexion,feg:jointAction,matched,
Hip Hinge,HipHinge,feg:movementPattern,matched,
Hip Internal Rotation,HipInternalRotation,feg:jointAction,matched,
Horizontal Adduction,ShoulderHorizontalAdduction,feg:jointAction,matched,
Horizontal Pull,HorizontalPull,feg:movementPattern,matched,
Horizontal Push,HorizontalPush,feg:movementPattern,matched,
Isometric Hold,IsometricHold,feg:movementPattern,matched,
Knee Dominant,KneeDominant,feg:movementPattern,matched,
Lateral Flexion,SpinalLateralFlexion,feg:jointAction,matched,
Lateral Locomotion,LateralLocomotion,feg:movementPattern,matched,
Loaded Carry,Carry,feg:movementPattern,matched,
Locomotion,Locomotion,feg:movementPattern,matched,
Other,,,drop,
Rotational,Rotation,feg:movementPattern,matched,
Scapular Elevation,ScapularElevation,feg:jointAction,matched,
Shoulder Abduction,ShoulderAbduction,feg:jointAction,matched,
Shoulder External Rotation,ShoulderExternalRotation,feg:jointAction,matched,
Shoulder Flexion,ShoulderFlexion,feg:jointAction,matched,
Shoulder Internal Rotation,ShoulderInternalRotation,feg:jointAction,matched,
Shoulder Scapular Plane Elevation,ShoulderFlexion,feg:jointAction,matched,
Spinal Extension,SpinalExtension,feg:jointAction,matched,
Spinal Flexion,SpinalFlexion,feg:jointAction,matched,
Spinal Rotational,SpinalRotation,feg:jointAction,matched,
Unsorted*,,,drop,
Vertical Pull,VerticalPull,feg:movementPattern,matched,
Vertical Push,VerticalPush,feg:movementPattern,matched,
Wrist Extension,WristExtension,feg:jointAction,matched,
Wrist Flexion,WristFlexion,feg:jointAction,matched,
